日付,金額
01/05,5.13
01/11,69.68
02/01,75.18
02/08,3.61
02/19,0.96
03/01,74.42
03/08,3.61
03/21,0.30
03/22,9.32
03/22,27.53
03/28,77.96
03/29,69.20
04/08,4.14
05/02,77.36
05/09,3.91
05/21,1.00
05/31,73.10
06/06,0.30
06/07,4.32
06/27,12.17
06/27,43.00
07/04,76.88
07/04,72.34
07/05,3.96
07/31,80.89
08/07,3.47
08/21,1.00
08/22,0.45
08/28,84.36
09/09,4.80
09/26,11.43
09/26,35.75
10/02,85.11
10/03,66.17
10/07,4.71
10/30,88.44
11/05,0.45
11/07,4.50
11/19,1.00
11/27,87.13
12/06,4.82
12/26,13.67
12/26,40.50
12/30,71.53